TransID,Position,EnterDate,EnterPrice,ExitDate,ExitPrice,Offset,Profit,CumProfit,X, 
31,Long,31 May 1989,0.4263$,30 Jun 1989,0.3683$,-13.61%,-13.6054%,130.5343%,F, 
32,Short,31 Jul 1989,0.3549$,31 Aug 1989,0.3973$,11.95%,-11.9470%,118.5873%,F, 
33,Long,31 Oct 1989,0.4152$,30 Nov 1989,0.3951$,-4.84%,-4.8410%,113.7462%,F, 
34,Short,31 Dec 1989,0.3147$,31 Mar 1990,0.3594$,14.20%,-14.2040%,99.5422%,F, 
35,Short,30 Apr 1990,0.3516$,31 May 1990,0.3683$,4.75%,-4.7497%,94.7925%,F, 
36,Long,30 Jun 1990,0.3996$,31 Jul 1990,0.3750$,-6.16%,-6.1562%,88.6364%,F, 
37,Short,31 Aug 1990,0.3304$,31 Oct 1990,0.2746$,-16.89%,16.8886%,105.5250%,T, 
38,Long,30 Nov 1990,0.3281$,30 Apr 1991,0.4911$,49.68%,49.6800%,155.2050%,T, 
39,Short,31 May 1991,0.4196$,31 Jul 1991,0.4129$,-1.60%,1.5968%,156.8017%,T, 
40,Long,31 Aug 1991,0.4732$,30 Sep 1991,0.4420$,-6.59%,-6.5934%,150.2083%,F, 
41,Long,31 Oct 1991,0.4598$,30 Nov 1991,0.4531$,-1.46%,-1.4572%,148.7512%,F, 
42,Long,31 Dec 1991,0.5033$,31 Mar 1992,0.5201$,3.34%,3.3380%,152.0891%,T, 
43,Long,30 Apr 1992,0.5368$,31 May 1992,0.5335$,-0.61%,-0.6148%,151.4744%,F, 
44,Short,30 Jun 1992,0.4286$,31 Oct 1992,0.4688$,9.38%,-9.3794%,142.0950%,F, 
45,Long,30 Nov 1992,0.5134$,28 Feb 1993,0.4732$,-7.83%,-7.8302%,134.2648%,F, 
46,Short,31 Mar 1993,0.4598$,31 May 1993,0.5056$,9.96%,-9.9609%,124.3040%,F, 
47,Short,30 Jun 1993,0.3527$,31 Oct 1993,0.2746$,-22.14%,22.1435%,146.4475%,T, 
48,Long,30 Nov 1993,0.2812$,31 Dec 1993,0.2612$,-7.11%,-7.1124%,139.3351%,F, 
49,Long,31 Jan 1994,0.2924$,31 Mar 1994,0.2969$,1.54%,1.5390%,140.8741%,T, 
50,Short,30 Apr 1994,0.2679$,31 Jul 1994,0.3008$,12.28%,-12.2807%,128.5934%,F, 
51,Long,31 Aug 1994,0.3231$,30 Sep 1994,0.3008$,-6.90%,-6.9019%,121.6915%,F, 
52,Long,31 Oct 1994,0.3856$,30 Nov 1994,0.3326$,-13.74%,-13.7448%,107.9467%,F, 
53,Long,31 Dec 1994,0.3482$,28 Feb 1995,0.3527$,1.29%,1.2924%,109.2390%,T, 
54,Short,31 Mar 1995,0.3147$,30 Apr 1995,0.3415$,8.52%,-8.5160%,100.7230%,F, 
55,Long,31 May 1995,0.3711$,31 Jul 1995,0.4018$,8.27%,8.2727%,108.9957%,T, 
56,Short,31 Aug 1995,0.3839$,30 Nov 1995,0.3404$,-11.33%,11.3311%,120.3268%,T, 
57,Short,31 Dec 1995,0.2846$,31 May 1996,0.2333$,-18.03%,18.0253%,138.3521%,T, 
58,Short,30 Jun 1996,0.1875$,31 Jul 1996,0.1964$,4.75%,-4.7467%,133.6054%,F, 
59,Long,31 Aug 1996,0.2165$,30 Sep 1996,0.1981$,-8.50%,-8.4988%,125.1065%,F, 
60,Long,31 Oct 1996,0.2054$,31 Dec 1996,0.1864$,-9.25%,-9.2502%,115.8563%,F, 
61,Short,31 Jan 1997,0.1484$,31 Mar 1997,0.1629$,9.77%,-9.7709%,106.0854%,F, 
62,Short,30 Apr 1997,0.1518$,31 Jul 1997,0.1562$,2.90%,-2.8986%,103.1869%,F, 
63,Long,31 Aug 1997,0.1942$,30 Sep 1997,0.1936$,-0.31%,-0.3090%,102.8779%,F, 
64,Short,31 Oct 1997,0.1521$,30 Nov 1997,0.1585$,4.21%,-4.2078%,98.6701%,F, 
65,Short,31 Dec 1997,0.1172$,31 Jan 1998,0.1635$,39.51%,-39.5051%,59.1650%,F, 
66,Long,28 Feb 1998,0.2109$,30 Apr 1998,0.2444$,15.88%,15.8843%,75.0493%,T, 
67,Short,31 May 1998,0.2377$,30 Jun 1998,0.2561$,7.74%,-7.7408%,67.3085%,F, 
68,Long,31 Jul 1998,0.3092$,31 Aug 1998,0.2785$,-9.93%,-9.9288%,57.3796%,F, 
69,Long,30 Sep 1998,0.3404$,30 Nov 1998,0.2852$,-16.22%,-16.2162%,41.1634%,F, 
70,Long,31 Dec 1998,0.3655$,31 Jan 1999,0.3677$,0.60%,0.6019%,41.7653%,T, 
71,Short,28 Feb 1999,0.3108$,31 Mar 1999,0.3209$,3.25%,-3.2497%,38.5157%,F, 
72,Long,30 Apr 1999,0.4107$,31 May 1999,0.3934$,-4.21%,-4.2123%,34.3033%,F, 
73,Long,30 Jun 1999,0.4135$,30 Sep 1999,0.5653$,36.71%,36.7110%,71.0143%,T, 
74,Long,31 Oct 1999,0.7154$,31 Jan 2000,0.9263$,29.48%,29.4800%,100.4943%,T, 
75,Long,29 Feb 2000,1.0234$,30 Apr 2000,1.1077$,8.24%,8.2372%,108.7316%,T, 
76,Short,31 May 2000,0.7500$,30 Jun 2000,0.9353$,24.71%,-24.7067%,84.0249%,F, 
77,Short,31 Jul 2000,0.9074$,31 Aug 2000,1.0882$,19.93%,-19.9251%,64.0999%,F, 
78,Short,30 Sep 2000,0.4598$,31 Jan 2001,0.3862$,-16.01%,16.0070%,80.1068%,T, 
79,Short,28 Feb 2001,0.3259$,31 Mar 2001,0.3941$,20.93%,-20.9267%,59.1802%,F, 
80,Long,30 Apr 2001,0.4552$,31 May 2001,0.3562$,-21.75%,-21.7487%,37.4315%,F, 
81,Long,30 Jun 2001,0.4152$,31 Jul 2001,0.3355$,-19.20%,-19.1956%,18.2359%,F, 
82,Short,31 Aug 2001,0.3313$,31 Oct 2001,0.3136$,-5.34%,5.3426%,23.5785%,T, 
83,Long,30 Nov 2001,0.3804$,28 Feb 2002,0.3875$,1.87%,1.8665%,25.4450%,T, 
84,Long,31 Mar 2002,0.4227$,31 May 2002,0.4161$,-1.56%,-1.5614%,23.8836%,F, 
85,Short,30 Jun 2002,0.3164$,30 Sep 2002,0.2589$,-18.17%,18.1732%,42.0568%,T, 
86,Long,31 Oct 2002,0.2870$,30 Nov 2002,0.2768$,-3.55%,-3.5540%,38.5028%,F, 
87,Short,31 Dec 2002,0.2559$,28 Feb 2003,0.2680$,4.73%,-4.7284%,33.7744%,F, 
88,Short,31 Mar 2003,0.2525$,30 Apr 2003,0.2539$,0.55%,-0.5545%,33.2199%,F, 
89,Long,31 May 2003,0.3205$,30 Sep 2003,0.3700$,15.44%,15.4446%,48.6645%,T, 
90,Long,31 Oct 2003,0.4087$,30 Nov 2003,0.3734$,-8.64%,-8.6371%,40.0274%,F, 
91,Long,31 Dec 2003,0.3816$,30 Apr 2004,0.4604$,20.65%,20.6499%,60.6773%,T, 
92,Long,31 May 2004,0.5011$,31 Dec 2004,1.1500$,129.50%,129.4951%,190.1724%,T, 
93,Long,31 Jan 2005,1.3732$,31 Mar 2005,1.4882$,8.37%,8.3746%,198.5470%,T, 
94,Short,30 Apr 2005,1.2879$,31 May 2005,1.4200$,10.26%,-10.2570%,188.2900%,F, 
95,Short,30 Jun 2005,1.3146$,31 Jul 2005,1.5232$,15.87%,-15.8679%,172.4220%,F, 
96,Long,31 Aug 2005,1.6746$,28 Feb 2006,2.4461$,46.07%,46.0707%,218.4927%,T, 
97,Short,31 Mar 2006,2.2400$,30 Apr 2006,2.5139$,12.23%,-12.2277%,206.2650%,F, 
98,Short,31 May 2006,2.1346$,31 Jul 2006,2.4271$,13.70%,-13.7028%,192.5622%,F, 
99,Long,31 Aug 2006,2.4232$,31 Dec 2006,3.0300$,25.04%,25.0413%,217.6035%,T, 
100,Short,31 Jan 2007,3.0618$,31 Mar 2007,3.3182$,8.37%,-8.3742%,209.2294%,F, 
101,Long,30 Apr 2007,3.5643$,30 Nov 2007,6.5079$,82.59%,82.5856%,291.8150%,T, 
102,Long,31 Dec 2007,7.0743$,31 Jan 2008,4.8343$,-31.66%,-31.6639%,260.1511%,F, 
103,Short,29 Feb 2008,4.4650$,31 Mar 2008,5.1250$,14.78%,-14.7816%,245.3695%,F, 
104,Long,30 Apr 2008,6.2125$,30 Jun 2008,5.9800$,-3.74%,-3.7425%,241.6270%,F, 
105,Short,31 Jul 2008,5.6768$,31 Aug 2008,6.0546$,6.66%,-6.6552%,234.9718%,F, 
106,Short,30 Sep 2008,4.0593$,31 Jan 2009,3.2189$,-20.70%,20.7031%,255.6749%,T, 
107,Long,28 Feb 2009,3.1896$,31 Jan 2010,6.8593$,115.05%,115.0520%,370.7270%,T, 
108,Long,28 Feb 2010,7.3079$,31 May 2010,9.1743$,25.54%,25.5395%,396.2664%,T, 
109,Short,30 Jun 2010,8.9832$,31 Jul 2010,9.1875$,2.27%,-2.2742%,393.9922%,F, 
110,Short,31 Aug 2010,8.6821$,30 Sep 2010,10.1339$,16.72%,-16.7218%,377.2704%,F, 
111,Long,31 Oct 2010,10.7493$,31 Mar 2011,12.4468$,15.79%,15.7917%,393.0622%,T, 
112,Short,30 Apr 2011,12.5046$,31 Jul 2011,13.9457$,11.52%,-11.5246%,381.5376%,F, 
113,Short,31 Aug 2011,13.7439$,31 Oct 2011,14.4564$,5.18%,-5.1841%,376.3535%,F, 
114,Short,30 Nov 2011,13.6500$,31 Dec 2011,14.4643$,5.97%,-5.9656%,370.3879%,F, 
115,Long,31 Jan 2012,16.3029$,30 Apr 2012,20.8564$,27.93%,27.9306%,398.3185%,T, 
116,Short,31 May 2012,20.6332$,30 Jun 2012,20.8571$,1.09%,-1.0851%,397.2334%,F, 
117,Long,31 Jul 2012,21.8129$,31 Oct 2012,21.2614$,-2.53%,-2.5283%,394.7051%,F, 
118,Short,30 Nov 2012,20.9029$,31 Mar 2013,15.8093$,-24.37%,24.3679%,419.0730%,T, 
119,Long,30 Apr 2013,15.8136$,30 Jun 2013,14.1618$,-10.45%,-10.4454%,408.6275%,F, 
120,Long,31 Jul 2013,16.1618$,30 Sep 2013,17.0268$,5.35%,5.3521%,413.9797%,T, 
121,Long,31 Oct 2013,18.6679$,31 Jan 2014,17.8786$,-4.23%,-4.2281%,409.7516%,F, 
122,Long,28 Feb 2014,18.7943$,30 Sep 2014,25.1875$,34.02%,34.0167%,443.7683%,T, 
123,Long,31 Oct 2014,27.0000$,31 Dec 2014,27.5950$,2.20%,2.2037%,445.9720%,T, 
124,Long,31 Jan 2015,29.2900$,31 Mar 2015,31.1075$,6.21%,6.2052%,452.1771%,T, 
125,Long,30 Apr 2015,31.2875$,30 Jun 2015,31.3575$,0.22%,0.2237%,452.4009%,T, 
126,Short,31 Jul 2015,30.3250$,30 Sep 2015,27.5750$,-9.07%,9.0684%,461.4693%,T, 
127,Long,31 Oct 2015,29.8750$,30 Nov 2015,29.5750$,-1.00%,-1.0042%,460.4651%,F, 
128,Short,31 Dec 2015,26.3150$,29 Feb 2016,24.1725$,-8.14%,8.1417%,468.6069%,T, 
129,Long,31 Mar 2016,27.2475$,30 Apr 2016,23.4350$,-13.99%,-13.9921%,454.6148%,F, 
130,Long,31 May 2016,24.9650$,30 Jun 2016,23.9000$,-4.27%,-4.2660%,450.3488%,F, 
131,Long,31 Jul 2016,26.0525$,30 Nov 2016,27.6300$,6.06%,6.0551%,456.4039%,T, 
132,Long,31 Dec 2016,28.9550$,30 Apr 2017,35.9125$,24.03%,24.0287%,480.4325%,T, 
133,Long,31 May 2017,38.1900$,30 Jun 2017,36.0050$,-5.72%,-5.7214%,474.7111%,F, 
134,Long,31 Jul 2017,37.1825$,30 Sep 2017,38.5300$,3.62%,3.6240%,478.3351%,T, 
135,Long,31 Oct 2017,42.2600$,31 Dec 2017,42.3075$,0.11%,0.1124%,478.4475%,T, 
136,Short,31 Jan 2018,41.8575$,28 Feb 2018,44.5300$,6.38%,-6.3848%,472.0628%,F, 
137,Short,31 Mar 2018,41.9450$,31 May 2018,46.7175$,11.38%,-11.3780%,460.6848%,F, 
138,Short,30 Jun 2018,46.2775$,31 Jul 2018,47.5725$,2.80%,-2.7983%,457.8865%,F, 
139,Long,31 Aug 2018,56.9075$,30 Sep 2018,56.4350$,-0.83%,-0.8303%,457.0562%,F, 
140,Short,31 Oct 2018,54.7150$,31 Jan 2019,41.6100$,-23.95%,23.9514%,481.0075%,T, 
141,Long,28 Feb 2019,43.2875$,31 May 2019,43.7675$,1.11%,1.1089%,482.1164%,T, 
142,Long,30 Jun 2019,49.4800$,31 Aug 2019,52.1850$,5.47%,5.4669%,487.5833%,T, 
143,Long,30 Sep 2019,55.9925$,29 Feb 2020,68.3400$,22.05%,22.0521%,509.6353%,T, 
144,Short,31 Mar 2020,63.5725$,30 Apr 2020,73.4500$,15.54%,-15.5374%,494.0980%,F, 
145,Long,31 May 2020,79.4850$,30 Sep 2020,115.8100$,45.70%,45.7004%,539.7984%,T, 
146,Short,31 Oct 2020,108.8600$,30 Nov 2020,119.0500$,9.36%,-9.3606%,530.4378%,F, 
147,Long,31 Dec 2020,132.6900$,31 Jan 2021,131.9600$,-0.55%,-0.5502%,529.8876%,F, 
148,Short,28 Feb 2021,121.2600$,30 Apr 2021,131.4600$,8.41%,-8.4117%,521.4759%,F, 
149,Short,31 May 2021,124.6100$,30 Jun 2021,136.9600$,9.91%,-9.9109%,511.5650%,F, 
150,Long,31 Jul 2021,145.8600$,30 Sep 2021,141.5000$,-2.99%,-2.9892%,508.5758%,F, 
151,Long,31 Oct 2021,149.8000$,31 Jan 2022,174.7800$,16.68%,16.6756%,525.2514%,T, 
152,Short,28 Feb 2022,165.1200$,31 Mar 2022,174.6100$,5.75%,-5.7473%,519.5041%,F, 
153,Short,30 Apr 2022,157.6500$,31 Jul 2022,162.5100$,3.08%,-3.0828%,516.4213%,F, 
154,Short,31 Aug 2022,157.2200$,31 Oct 2022,153.3400$,-2.47%,2.4679%,518.8892%,T, 
155,Short,30 Nov 2022,148.0300$,31 Jan 2023,144.2900$,-2.53%,2.5265%,521.4157%,T, 
156,Long,28 Feb 2023,147.4100$,31 Aug 2023,187.8700$,27.45%,27.4473%,548.8629%,T, 
,,,,,,,,,,
Ticker:,AAPL,From: 31 Dec 1980,To: 31 Oct 2023,By: Monthly,Recent Pivots: 4,Merge: 2.5%,,,,
,,Success Rate:,39.1%,Cumulative Profit:,548.9%,,,,,
,,,,,,,,,,
