TransID,Position,EnterDate,EnterPrice,ExitDate,ExitPrice,Offset,Profit,CumProfit,X, 
30,Long,30 Nov 2012,17.3941$,31 Mar 2013,19.7806$,13.72%,13.7202%,75.4806%,T, 
31,Long,30 Apr 2013,20.5373$,31 Aug 2013,21.0934$,2.71%,2.7078%,78.1884%,T, 
32,Long,30 Sep 2013,21.8160$,31 Mar 2014,27.7723$,27.30%,27.3024%,105.4908%,T, 
33,Short,30 Apr 2014,26.2609$,31 May 2014,27.9179$,6.31%,-6.3098%,99.1811%,F, 
34,Long,30 Jun 2014,28.6852$,31 Jul 2014,28.5017$,-0.64%,-0.6397%,98.5414%,F, 
35,Long,31 Aug 2014,28.5017$,31 Oct 2014,27.8775$,-2.19%,-2.1900%,96.3513%,F, 
36,Short,30 Nov 2014,27.0173$,31 Jan 2015,26.6528$,-1.35%,1.3491%,97.7005%,T, 
37,Long,28 Feb 2015,27.8436$,31 Mar 2015,27.3250$,-1.86%,-1.8625%,95.8379%,F, 
38,Short,30 Apr 2015,26.8670$,31 Jul 2015,31.2805$,16.43%,-16.4272%,79.4107%,F, 
39,Short,31 Aug 2015,30.9125$,30 Sep 2015,30.4210$,-1.59%,1.5900%,81.0007%,T, 
40,Long,31 Oct 2015,35.5405$,31 Jan 2016,37.1475$,4.52%,4.5216%,85.5223%,T, 
41,Short,29 Feb 2016,34.8885$,31 Mar 2016,37.2475$,6.76%,-6.7615%,78.7607%,F, 
42,Short,30 Apr 2016,34.6505$,31 May 2016,36.7860$,6.16%,-6.1630%,72.5978%,F, 
43,Short,30 Jun 2016,34.6050$,31 Jul 2016,38.4395$,11.08%,-11.0808%,61.5170%,F, 
44,Long,31 Aug 2016,38.3525$,30 Nov 2016,37.9020$,-1.17%,-1.1746%,60.3424%,F, 
45,Long,31 Dec 2016,38.5910$,30 Jun 2017,45.4365$,17.74%,17.7386%,78.0810%,T, 
46,Long,31 Jul 2017,46.5250$,28 Feb 2018,55.2365$,18.72%,18.7243%,96.8053%,T, 
47,Short,31 Mar 2018,51.5895$,31 May 2018,54.2495$,5.16%,-5.1561%,91.6492%,F, 
48,Long,30 Jun 2018,55.7825$,31 Aug 2018,60.9095$,9.19%,9.1911%,100.8403%,T, 
49,Short,30 Sep 2018,59.6735$,30 Nov 2018,54.7215$,-8.30%,8.2985%,109.1388%,T, 
50,Short,31 Dec 2018,51.7805$,31 Jan 2019,55.8185$,7.80%,-7.7983%,101.3405%,F, 
51,Long,28 Feb 2019,55.9960$,31 May 2019,55.1815$,-1.45%,-1.4546%,99.8859%,F, 
52,Long,30 Jun 2019,54.0455$,31 Aug 2019,59.4050$,9.92%,9.9166%,109.8025%,T, 
53,Long,30 Sep 2019,60.9500$,29 Feb 2020,66.9665$,9.87%,9.8712%,119.6737%,T, 
54,Short,31 Mar 2020,58.1405$,30 Apr 2020,67.4330$,15.98%,-15.9828%,103.6909%,F, 
55,Long,31 May 2020,71.4460$,30 Jun 2020,70.6805$,-1.07%,-1.0714%,102.6195%,F, 
56,Long,31 Jul 2020,74.1480$,30 Sep 2020,73.4800$,-0.90%,-0.9009%,101.7186%,F, 
57,Long,31 Oct 2020,81.0505$,31 Dec 2020,87.5940$,8.07%,8.0734%,109.7919%,T, 
58,Long,31 Jan 2021,91.7870$,30 Sep 2021,133.2655$,45.19%,45.1900%,154.9819%,T, 
59,Long,31 Oct 2021,148.2705$,30 Nov 2021,142.4520$,-3.92%,-3.9242%,151.0576%,F, 
60,Long,31 Dec 2021,144.6795$,31 Jan 2022,135.6985$,-6.21%,-6.2075%,144.8501%,F, 
61,Short,28 Feb 2022,134.8910$,31 Mar 2022,139.6495$,3.53%,-3.5277%,141.3224%,F, 
62,Short,30 Apr 2022,114.9665$,31 May 2022,114.0390$,-0.81%,0.8068%,142.1292%,T, 
63,Short,30 Jun 2022,109.3725$,31 Jul 2022,116.6400$,6.64%,-6.6447%,135.4845%,F, 
64,Short,31 Aug 2022,109.1500$,30 Nov 2022,101.4500$,-7.05%,7.0545%,142.5390%,T, 
65,Short,31 Dec 2022,88.7300$,31 Jan 2023,99.8700$,12.55%,-12.5549%,129.9841%,F, 
66,Short,28 Feb 2023,90.3000$,31 Mar 2023,104.0000$,15.17%,-15.1717%,114.8124%,F, 
67,Long,30 Apr 2023,108.2200$,30 Jun 2023,120.9700$,11.78%,11.7816%,126.5940%,T, 
68,Long,31 Jul 2023,133.1100$,30 Sep 2023,131.8500$,-0.95%,-0.9466%,125.6474%,F, 
,,,,,,,,,,
Ticker:,GOOG,From: 31 Aug 2004,To: 31 Oct 2023,By: Monthly,Recent Pivots: 4,Merge: 2.5%,,,,
,,Success Rate:,39.7%,Cumulative Profit:,125.6%,,,,,
,,,,,,,,,,
